台媒报道深圳全城抢菜但剩两样无人买香港疫情延烧一个多月深圳也跟着受影响卫健委13日宣布进入半封城状态停止一切非必要流动《东森新媒体ETtoday》记者访问王姓台商表示政府原本12日宣布部分区域居家上班相隔一天变成全市「封控隔离」当时很多人还在上班都慌了来不及准备两星期生活物资「广东人即使没东西可买对吃坚持到底」住在罗湖区的王姓台商分享13日晚上真实见闻当天全深圳市的民众都在抢买蔬果肉类每家店铺货架几乎被一扫而空连酸菜都卖光光唯独大红椒辣椒和鱼腥草在广东人心中毫无地位剩下一大堆也没人买	0
宝安什么时候解封我真的好想好想出去玩	2
被封的第N天 精神失常 黑白颠倒	2
如果你叫了外卖找一小时也不一定能找到 少吃点当减肥了	0
今天20号外界以为我们早已转移村里的确诊越来越多我们仍然困在家里不敢开窗户堵死下水道每天做全屋消杀期待早点转走然而转移出去的结果更加令人绝望多人不分男女混住在一起洗手间甚至没有门加剧了风险令大众心寒更加浪费大白的努力他们已经辛苦工作一个月期待早点转移的居民现在已经看不到期望看不到尽头请求不要漠视生命愚弄大众糟践公信力	2
2022年3月19日星期六1030我市举行疫情防控新闻发布会邀请市人民政府副秘书长黄强和市卫生健康委员会市医疗保障局宝安区盐田区有关负责人出席通报我市疫情防控最新情况并回答记者提问敬请关注	0
明天依旧是居家办公的一天	0
2022318 小区封控隔离第四天1 今日无新增这是最好的消息；2 收集这几天群里各种大白们的视频和画面守望相助共克时艰感恩	1
3月12日深圳市南山区月亮湾社区向深圳市集装箱运输协会发出告知函称核酸检测采样点发现有人冒名顶替货车司机采样伪造核酸检测报告的行为15日深圳集装箱协会向全体会员发出警示公告要求行业从业人员积极配合开展各项防疫工作服务抗疫大局	0
很多群在发这个图和医院证实了为真实消息请放心医院担心有宠主把毛娃娃放置家中得不到照顾所以决定寄养毛娃娃实行免费	1
封城之后邻居的手机已集齐各大买菜软件	1
我不想疫地恋了	2
深圳宝安核酸上门服务没看到宝安西乡乐群天天排队三个小时才能做核酸麻烦关注下谢谢	2
